"Cliente","Strumento","Moneta","Saldo","NumeroValore","Nome","PrezzoMedio","PrezzoMercato","ValorePosizione","ValoreMonetaRiferimento","Evoluzione","Ordine","Categoria","ValoreMercatoMonetaCHF","ValoreMercatoMonetaEUR","ValoreMercatoMonetaUSD","ID_AAA","ID_strumento","ID_transazione","Ticker_indice_per_BETA","Valuta","VariazioneFX"
"pippo185","Oacc","CHF",50000,"4952404","20130805 - 2% Nestle 05-08-13 Pro-rata",NA,NA,505.555541992188,505.555541992188,NA,"D","Obbligazioni e simili          ",505.555541992188,419.135918756247,550.954165205087,1173,2,NA,NA,NA,NA
"pippo185","A","CHF",420,"3886335CH","Nestle Na",28.3899995349702,53.1,22302,22302,0.870376923909156,"E","Azioni e simili",22302,18489.6979336175,24304.7079337402,697,1,NA,"SMI.S",NA,NA
"pippo185","O      ","EUR",30000,"10020736","20120415 - 2.5% EIB 15-04-12",99.705,100.15,30045,36239.834334,0.00446316634070509,"D ","Obbligazioni e simili          ",36239.834334,30045,39494.1525,1171,2,NA,NA,NA,NA
"pippo185","O      ","CHF",40000,"10086958","20120416 - 2.625% Carrefour 16-04-12",101.15,100.18,40072,40072,-0.00958971824023724,"D ","Obbligazioni e simili          ",40072,33222.0955786889,43670.4446381866,1196,2,NA,NA,NA,NA
"pippo185","O      ","EUR",1040,"2490099","20201231 - 0% <3Y - CB-Accent Lux Sicav - Fixed Income EUR 31-12-20",10479.4615384615,11661,121274.4,146279.38641888,0.112748012596067,"D ","Obbligazioni e simili          ",146279.38641888,121274.4,159415.1988,825,3,NA,NA,NA,NA
"pippo185","O      ","CHF",50000,"3836511","20120323 - 2.5% Roche Holdings 23-03-12",100.25,100.53,50265,50265,0.00279301745635907,"D ","Obbligazioni e simili          ",50265,41672.7049875923,54778.7707061901,1169,2,NA,NA,NA,NA
"pippo185","O      ","CHF",50000,"4952404","20130805 - 2% Nestle 05-08-13",102.2,102.55,51275,51275,0.00342465753424648,"D ","Obbligazioni e simili          ",51275,42510.0556697263,55879.4681778553,1173,2,NA,NA,NA,NA
"pippo185","L","CHF",153951.153103223,"","CHF-1142530.0003",NA,NA,153951.153103223,153951.153103223,NA,"A","Saldi in Cto. Corrente",153951.153103223,127634.755511196,167775.886119467,NA,40,NA,NA,NA,NA
"pippo185","L","USD",1570.1010666155,"","USD-1142530.0001",NA,NA,1570.1010666155,1440.72473872638,NA,"A","Saldi in Cto. Corrente",1440.72473872638,1194.44736904945,1570.1010666155,NA,40,NA,NA,NA,NA
"pippo185","L","EUR",66.1625225355237,"","EUR-1142530.0002",NA,NA,66.1625225355237,79.8042554770152,NA,"A","Saldi in Cto. Corrente",79.8042554770152,66.1625225355237,86.970635872946,NA,40,NA,NA,NA,NA
"pippo186","L","JPY",0,"","JPY-0236-306.282.63J",NA,NA,0,0,NA,"A","Saldi in Cto. Corrente",0,0,0,NA,40,NA,NA,NA,NA
"pippo186","L","GBP",0.00447420211938265,"","GBP-0236-306.282.62K",NA,NA,0.00447420211938265,0.00649535563481389,NA,"A","Saldi in Cto. Corrente",0.00649535563481389,0.00538504007080662,0.0070786351730753,NA,40,NA,NA,NA,NA
"pippo186","L","EUR",22454.4708747541,"","EUR-0236-306.282.60G",NA,NA,22454.4708747541,27084.2504429595,NA,"A","Saldi in Cto. Corrente",27084.2504429595,22454.4708747541,29516.4019648643,NA,40,NA,NA,NA,NA
"pippo186","L","CHF",415990.310774372,"","CHF-0236-306.282.06J",NA,NA,415990.310774372,415990.310774372,NA,"A","Saldi in Cto. Corrente",415990.310774372,344880.960879285,453346.02307582,NA,40,NA,NA,NA,NA
"pippo186","L","EUR",0,"","EUR-CallGeld UBS-CALL GELD",NA,NA,0,0,NA,"A","Saldi in Cto. Corrente",0,0,0,NA,40,NA,NA,NA,NA
"pippo186","L","USD",160.362200918375,"","USD-0236-306.282.61P",NA,NA,160.362200918375,147.148355562701,NA,"A","Saldi in Cto. Corrente",147.148355562701,121.994827629041,160.362200918375,NA,40,NA,NA,NA,NA
"pippo186","L","USD",0,"","USD-CallGeld UBS-CALL GELD",NA,NA,0,0,NA,"A","Saldi in Cto. Corrente",0,0,0,NA,40,NA,NA,NA,NA
"pippo186","L","CHF",0,"","CHF-CallGeld UBS-CALL GELD",NA,NA,0,0,NA,"A","Saldi in Cto. Corrente",0,0,0,NA,40,NA,NA,NA,NA
